id	booktitle	filmtitle	winner	goodreads	imdb	metacritic	stevecount	crewcount
tt2278871	Blue Is the Warmest Color	Blue Is the Warmest Colour	book	3.91	7.7	90	0	194
tt0493949	Beezus and Ramona	Ramona and Beezus	book	4.03	6.5	56	8	362
tt4846340	Hidden Figures: The American Dream and the Untold Story of the Black Women Mathematicians Who Helped Win the Space Race	Hidden Figures	book	3.98	7.8	74	8	584
tt1571234	Mortal Engines (Mortal Engines, #1)	Mortal Engines	book	3.76	6.1	44	22	1525
tt0347149	Howl’s Moving Castle (Howl’s Moving Castle, #1)	Howl's Moving Castle	book	4.29	8.2	82	2	382
tt0844471	Cloudy With a Chance of Meatballs (Cloudy with a Chance of Meatballs, #1)	Cloudy with a Chance of Meatballs	book	4.18	6.9	66	15	702
tt0087050	Children of the Corn	Children of the Corn	book	3.91	5.6	45	2	121
tt3387520	Scary Stories to Tell in the Dark	Scary Stories to Tell in the Dark	book	4.05	6.2	61	7	510
tt0312528	The Cat in the Hat (The Cat in the Hat, #1)	The Cat in the Hat	book	4.19	4.1	19	18	816
tt0311289	Holes (Holes, #1)	Holes	book	4	7	71	14	557
tt3846674	To All the Boys I've Loved Before (To All the Boys I've Loved Before, #1)	To All the Boys I've Loved Before	book	4.04	7	64	1	257
tt3104988	Crazy Rich Asians (Crazy Rich Asians, #1)	Crazy Rich Asians	book	3.9	6.9	74	7	532
tt0327679	Ella Enchanted (Ella Enchanted, #1)	Ella Enchanted	book	4.01	6.3	53	7	505
tt2737304	Bird Box (Bird Box, #1)	Bird Box	book	4.04	6.6	51	9	752
tt0837563	Pet Sematary	Pet Sematary	book	4.06	5.7	57	9	526
tt0162661	The Legend of Sleepy Hollow	Sleepy Hollow	book	3.71	7.3	65	21	685
tt0926084	Harry Potter and the Deathly Hallows (Harry Potter, #7)	Harry Potter and the Deathly Hallows: Part 1	tie	4.62	7.7	65	45	2146
tt1201607	Harry Potter and the Deathly Hallows (Harry Potter, #7)	Harry Potter and the Deathly Hallows: Part 2	book	4.62	8.1	85	51	2665
tt0417741	Harry Potter and the Half-Blood Prince (Harry Potter, #6)	Harry Potter and the Half-Blood Prince	book	4.58	7.6	78	44	1632
tt0373889	Harry Potter and the Order of the Phoenix (Harry Potter, #5)	Harry Potter and the Order of the Phoenix	book	4.5	7.5	71	42	1813
